total_obs,total_exp,E,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,R50
1,2,23.0,23.0,26.0,23.0,25.0,28.0,23.0,23.0,24.0,26.0,26.0,22.0,23.0,20.0,14.0,26.0,17.0,16.0,22.0,21.0,20.0,17.0,20.0,16.0,21.0,24.0,14.0,19.0,29.0,28.0,20.0,20.0,19.0,20.0,14.0,26.0,17.0,19.0,20.0,22.0,17.0,20.0,24.0,22.0,20.0,19.0,29.0,26.0,25.0,25.0,26.0
1,3,4.0,3.0,1.0,1.0,3.0,4.0,6.0,2.0,0.0,1.0,3.0,3.0,0.0,2.0,7.0,1.0,3.0,2.0,4.0,1.0,2.0,5.0,2.0,4.0,1.0,1.0,4.0,1.0,2.0,4.0,1.0,6.0,3.0,1.0,4.0,2.0,2.0,1.0,6.0,1.0,4.0,1.0,0.0,2.0,3.0,3.0,1.0,3.0,4.0,5.0,4.0
1,4,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0
1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2,0,122.0,122.0,126.0,117.0,112.0,122.0,123.0,117.0,120.0,120.0,116.0,120.0,121.0,115.0,123.0,121.0,124.0,117.0,115.0,129.0,114.0,122.0,132.0,125.0,127.0,116.0,126.0,112.0,125.0,129.0,125.0,114.0,107.0,118.0,125.0,108.0,107.0,119.0,125.0,124.0,128.0,115.0,132.0,114.0,114.0,127.0,119.0,123.0,117.0,116.0,134.0
2,1,57.0,70.0,63.0,61.0,67.0,57.0,64.0,72.0,64.0,50.0,69.0,71.0,69.0,60.0,67.0,59.0,66.0,70.0,65.0,61.0,66.0,69.0,59.0,58.0,54.0,71.0,64.0,65.0,61.0,74.0,54.0,69.0,69.0,69.0,65.0,70.0,68.0,64.0,77.0,59.0,62.0,67.0,58.0,64.0,64.0,56.0,66.0,70.0,59.0,62.0,61.0
2,2,19.0,15.0,14.0,19.0,17.0,15.0,22.0,19.0,11.0,19.0,20.0,20.0,14.0,13.0,12.0,14.0,13.0,12.0,18.0,17.0,10.0,17.0,14.0,17.0,17.0,18.0,16.0,17.0,13.0,10.0,13.0,15.0,13.0,15.0,17.0,16.0,18.0,15.0,17.0,20.0,20.0,19.0,17.0,14.0,20.0,17.0,18.0,15.0,21.0,16.0,14.0
2,3,4.0,0.0,1.0,4.0,2.0,4.0,4.0,5.0,3.0,1.0,0.0,1.0,3.0,3.0,3.0,2.0,3.0,4.0,2.0,3.0,4.0,4.0,1.0,3.0,6.0,2.0,2.0,5.0,4.0,2.0,2.0,4.0,5.0,2.0,4.0,4.0,2.0,4.0,10.0,0.0,2.0,1.0,1.0,3.0,4.0,4.0,1.0,1.0,2.0,1.0,1.0
2,4,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0,50.0,37.0,52.0,52.0,55.0,46.0,40.0,50.0,49.0,52.0,48.0,43.0,52.0,48.0,44.0,44.0,50.0,56.0,53.0,43.0,47.0,50.0,50.0,45.0,56.0,44.0,48.0,51.0,52.0,50.0,53.0,44.0,49.0,41.0,50.0,41.0,48.0,53.0,41.0,48.0,49.0,51.0,50.0,49.0,45.0,54.0,57.0,46.0,41.0,50.0,46.0
3,1,41.0,29.0,27.0,24.0,31.0,35.0,36.0,37.0,39.0,35.0,41.0,32.0,27.0,49.0,38.0,37.0,39.0,34.0,39.0,51.0,32.0,30.0,44.0,41.0,38.0,34.0,43.0,38.0,37.0,32.0,37.0,40.0,52.0,42.0,42.0,34.0,39.0,29.0,31.0,33.0,35.0,42.0,29.0,30.0,44.0,35.0,38.0,40.0,39.0,37.0,32.0
3,2,20.0,12.0,20.0,17.0,11.0,11.0,12.0,8.0,14.0,14.0,13.0,15.0,14.0,14.0,15.0,14.0,14.0,16.0,15.0,13.0,14.0,11.0,10.0,14.0,13.0,11.0,14.0,12.0,12.0,18.0,12.0,18.0,12.0,9.0,13.0,13.0,15.0,12.0,14.0,11.0,13.0,17.0,13.0,10.0,15.0,16.0,14.0,7.0,14.0,18.0,16.0
3,3,2.0,3.0,7.0,2.0,7.0,3.0,5.0,7.0,4.0,6.0,1.0,5.0,6.0,4.0,5.0,2.0,7.0,3.0,4.0,4.0,9.0,9.0,6.0,6.0,2.0,3.0,5.0,2.0,3.0,4.0,5.0,4.0,5.0,6.0,4.0,6.0,4.0,2.0,4.0,5.0,6.0,4.0,4.0,7.0,4.0,5.0,1.0,9.0,5.0,5.0,3.0
3,4,1.0,1.0,2.0,0.0,1.0,0.0,1.0,3.0,2.0,1.0,0.0,2.0,0.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,0.0,0.0,3.0,1.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0,2.0,2.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,2.0
3,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0,26.0,35.0,33.0,25.0,21.0,30.0,28.0,19.0,25.0,32.0,25.0,23.0,21.0,21.0,25.0,22.0,21.0,27.0,29.0,21.0,31.0,23.0,29.0,17.0,19.0,25.0,23.0,21.0,26.0,24.0,17.0,27.0,18.0,30.0,20.0,25.0,23.0,20.0,23.0,21.0,23.0,24.0,21.0,20.0,28.0,21.0,21.0,23.0,22.0,23.0,19.0
4,1,16.0,19.0,22.0,23.0,25.0,22.0,22.0,18.0,14.0,19.0,23.0,17.0,13.0,22.0,15.0,21.0,19.0,20.0,23.0,17.0,18.0,16.0,17.0,25.0,22.0,23.0,18.0,13.0,23.0,15.0,16.0,19.0,21.0,17.0,21.0,23.0,21.0,29.0,24.0,16.0,23.0,17.0,19.0,24.0,16.0,17.0,17.0,23.0,23.0,18.0,22.0
4,2,11.0,15.0,11.0,8.0,8.0,8.0,13.0,11.0,13.0,13.0,8.0,9.0,9.0,17.0,6.0,10.0,13.0,9.0,11.0,10.0,6.0,8.0,12.0,11.0,7.0,10.0,11.0,9.0,12.0,9.0,14.0,8.0,14.0,10.0,11.0,13.0,9.0,11.0,8.0,13.0,10.0,14.0,14.0,10.0,14.0,10.0,11.0,9.0,9.0,8.0,8.0
4,3,2.0,4.0,4.0,3.0,0.0,3.0,3.0,5.0,3.0,3.0,4.0,4.0,3.0,2.0,2.0,4.0,3.0,4.0,4.0,3.0,6.0,3.0,3.0,3.0,6.0,3.0,1.0,1.0,5.0,4.0,5.0,5.0,2.0,3.0,5.0,4.0,5.0,6.0,5.0,6.0,2.0,2.0,8.0,6.0,5.0,5.0,1.0,5.0,7.0,4.0,7.0
4,4,3.0,2.0,4.0,1.0,4.0,4.0,3.0,3.0,2.0,0.0,2.0,3.0,0.0,1.0,0.0,1.0,1.0,5.0,3.0,2.0,5.0,1.0,1.0,2.0,2.0,4.0,0.0,3.0,3.0,4.0,3.0,1.0,2.0,1.0,0.0,0.0,5.0,1.0,4.0,2.0,2.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
4,5,2.0,2.0,0.0,0.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0
4,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0
4,7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0,18.0,7.0,7.0,15.0,12.0,10.0,10.0,14.0,10.0,9.0,14.0,10.0,14.0,17.0,18.0,12.0,15.0,10.0,11.0,16.0,8.0,13.0,12.0,8.0,12.0,10.0,10.0,11.0,7.0,14.0,5.0,11.0,12.0,14.0,13.0,12.0,10.0,14.0,17.0,17.0,13.0,10.0,13.0,12.0,10.0,9.0,8.0,15.0,14.0,14.0,19.0
5,1,17.0,11.0,12.0,16.0,10.0,10.0,16.0,15.0,13.0,10.0,10.0,17.0,19.0,14.0,9.0,11.0,8.0,14.0,12.0,18.0,17.0,15.0,12.0,10.0,18.0,15.0,11.0,20.0,15.0,14.0,22.0,14.0,14.0,18.0,10.0,15.0,14.0,11.0,13.0,17.0,13.0,18.0,21.0,16.0,17.0,11.0,19.0,9.0,9.0,17.0,18.0
5,2,5.0,12.0,5.0,7.0,6.0,8.0,7.0,6.0,11.0,8.0,6.0,6.0,6.0,8.0,5.0,10.0,4.0,8.0,8.0,4.0,11.0,11.0,8.0,10.0,6.0,6.0,5.0,9.0,3.0,7.0,6.0,8.0,1.0,6.0,8.0,6.0,6.0,11.0,8.0,6.0,6.0,6.0,4.0,5.0,6.0,9.0,7.0,13.0,5.0,5.0,8.0
5,3,6.0,6.0,5.0,5.0,2.0,4.0,4.0,7.0,5.0,3.0,5.0,4.0,5.0,4.0,7.0,6.0,3.0,5.0,3.0,3.0,1.0,6.0,8.0,3.0,3.0,8.0,8.0,7.0,5.0,4.0,5.0,5.0,6.0,6.0,2.0,4.0,2.0,3.0,2.0,4.0,5.0,2.0,4.0,7.0,4.0,7.0,6.0,7.0,7.0,3.0,3.0
5,4,0.0,2.0,2.0,4.0,2.0,0.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,2.0,4.0,1.0,5.0,1.0,0.0,2.0,3.0,0.0,1.0,2.0,5.0,1.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,2.0,2.0,2.0,3.0,0.0,1.0,0.0,1.0,1.0,6.0,1.0,0.0,1.0,3.0,1.0,1.0
5,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
5,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5,7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0,8.0,6.0,5.0,8.0,6.0,4.0,6.0,9.0,6.0,7.0,6.0,5.0,8.0,5.0,4.0,9.0,6.0,6.0,8.0,3.0,8.0,6.0,5.0,7.0,4.0,7.0,5.0,4.0,9.0,1.0,6.0,8.0,4.0,7.0,4.0,6.0,6.0,9.0,5.0,5.0,8.0,3.0,6.0,8.0,6.0,5.0,7.0,5.0,3.0,4.0,6.0
6,1,5.0,6.0,9.0,4.0,8.0,6.0,4.0,5.0,5.0,3.0,5.0,4.0,4.0,7.0,6.0,6.0,5.0,3.0,8.0,7.0,3.0,3.0,5.0,7.0,3.0,6.0,10.0,7.0,6.0,10.0,5.0,6.0,8.0,6.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,3.0,7.0,6.0,8.0,6.0,6.0,8.0,4.0,4.0
6,2,3.0,2.0,5.0,2.0,5.0,8.0,4.0,1.0,5.0,2.0,4.0,2.0,0.0,1.0,9.0,2.0,3.0,5.0,4.0,4.0,7.0,4.0,4.0,2.0,5.0,2.0,6.0,4.0,1.0,1.0,3.0,1.0,1.0,4.0,5.0,4.0,4.0,6.0,3.0,4.0,5.0,8.0,7.0,2.0,1.0,6.0,2.0,4.0,4.0,2.0,2.0
6,3,3.0,5.0,2.0,3.0,8.0,2.0,1.0,5.0,1.0,5.0,3.0,5.0,6.0,3.0,0.0,2.0,4.0,2.0,3.0,2.0,1.0,3.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,5.0,1.0,2.0,0.0,2.0,4.0,2.0,1.0,2.0,1.0,1.0,2.0,4.0,2.0,3.0,4.0,3.0
6,4,1.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,0.0,2.0,2.0,4.0,0.0,2.0,2.0,1.0,1.0,3.0,0.0,2.0,0.0,2.0,3.0
6,5,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0
6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0,2.0,3.0,4.0,2.0,1.0,3.0,4.0,5.0,6.0,0.0,6.0,4.0,1.0,4.0,4.0,2.0,5.0,2.0,2.0,4.0,4.0,1.0,2.0,3.0,6.0,0.0,3.0,2.0,2.0,3.0,1.0,3.0,4.0,1.0,5.0,3.0,4.0,2.0,2.0,5.0,1.0,3.0,5.0,4.0,4.0,4.0,6.0,3.0,2.0,6.0,4.0
7,1,6.0,3.0,1.0,5.0,4.0,4.0,7.0,3.0,4.0,4.0,6.0,5.0,5.0,3.0,3.0,7.0,4.0,4.0,3.0,3.0,4.0,6.0,1.0,4.0,2.0,5.0,6.0,6.0,6.0,5.0,7.0,4.0,4.0,3.0,7.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0,4.0,8.0,3.0,1.0,6.0,5.0,3.0,3.0
7,2,2.0,2.0,3.0,0.0,3.0,3.0,1.0,3.0,2.0,5.0,4.0,7.0,3.0,1.0,3.0,5.0,1.0,2.0,5.0,0.0,1.0,4.0,4.0,1.0,4.0,4.0,4.0,2.0,0.0,1.0,3.0,1.0,2.0,2.0,4.0,2.0,3.0,2.0,3.0,1.0,3.0,0.0,2.0,4.0,2.0,2.0,2.0,1.0,0.0,4.0,3.0
7,3,3.0,2.0,0.0,1.0,0.0,0.0,3.0,1.0,2.0,0.0,1.0,2.0,3.0,1.0,2.0,1.0,3.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,5.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,0.0,1.0,1.0,3.0,2.0,2.0,3.0,1.0
7,4,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,2.0,1.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0
7,5,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
7,6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
7,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8,0,5.0,6.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,7.0,4.0,3.0,2.0,2.0,3.0,2.0,1.0,5.0,2.0,3.0,4.0,5.0,5.0,2.0,6.0,3.0,4.0,2.0,4.0,5.0,1.0,3.0,2.0,6.0,2.0,2.0,2.0,4.0,3.0,5.0,3.0,4.0,5.0,2.0,3.0,3.0,3.0,3.0,2.0,6.0,3.0
8,1,2.0,4.0,5.0,5.0,3.0,4.0,3.0,2.0,3.0,2.0,4.0,4.0,3.0,5.0,2.0,5.0,3.0,2.0,4.0,2.0,2.0,3.0,4.0,5.0,2.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,4.0,4.0,4.0,1.0,2.0,4.0,0.0,1.0,2.0,2.0,2.0,5.0,1.0,3.0,2.0,2.0,2.0,2.0
8,2,3.0,3.0,1.0,2.0,1.0,2.0,1.0,3.0,6.0,1.0,1.0,3.0,2.0,2.0,2.0,3.0,5.0,2.0,2.0,3.0,1.0,2.0,4.0,2.0,0.0,1.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,5.0,4.0,1.0,3.0,0.0,3.0
