"total_obs","total_exp","E","R1","R2","R3","R4","R5","R6","R7","R8","R9","R10","R11","R12","R13","R14","R15","R16","R17","R18","R19","R20","R21","R22","R23","R24","R25","R26","R27","R28","R29","R30","R31","R32","R33","R34","R35","R36","R37","R38","R39","R40","R41","R42","R43","R44","R45","R46","R47","R48","R49","R50","R51","R52","R53","R54","R55","R56","R57","R58","R59","R60","R61","R62","R63","R64","R65","R66","R67","R68","R69","R70","R71","R72","R73","R74","R75","R76","R77","R78","R79","R80","R81","R82","R83","R84","R85","R86","R87","R88","R89","R90","R91","R92","R93","R94","R95","R96","R97","R98","R99","R100","R101","R102","R103","R104","R105","R106","R107","R108","R109","R110","R111","R112","R113","R114","R115","R116","R117","R118","R119","R120","R121","R122","R123","R124","R125","R126","R127","R128","R129","R130","R131","R132","R133","R134","R135","R136","R137","R138","R139","R140","R141","R142","R143","R144","R145","R146","R147","R148","R149","R150","R151","R152","R153","R154","R155","R156","R157","R158","R159","R160","R161","R162","R163","R164","R165","R166","R167","R168","R169","R170","R171","R172","R173","R174","R175","R176","R177","R178","R179","R180","R181","R182","R183","R184","R185","R186","R187","R188","R189","R190","R191","R192","R193","R194","R195","R196","R197","R198","R199","R200","rand_mean","rand_std","norm_pval"
2,2,4,8,6,3,5,3,5,5,8,7,3,3,7,6,6,7,5,2,8,8,6,2,7,2,6,4,4,8,5,9,7,5,6,4,5,8,5,5,2,6,5,3,3,8,8,7,5,4,6,10,5,8,1,4,6,7,4,6,6,4,6,5,3,7,5,3,8,4,7,4,6,3,2,8,8,6,7,6,8,5,3,7,7,7,1,6,3,5,4,7,7,3,7,7,4,2,6,7,5,4,4,6,6,3,9,7,4,6,4,3,6,2,4,2,5,6,6,9,9,4,6,6,3,3,8,4,4,4,6,3,9,7,3,5,1,7,7,6,4,5,6,3,5,2,10,2,7,6,5,6,1,7,7,5,5,5,0,6,4,6,5,7,5,6,4,5,5,4,2,5,6,9,5,7,8,6,5,5,4,1,5,7,9,8,7,5,5,5,4,4,4,7,4,4,13,4,5,7,8,7,4,5.34,2.04334930491816,0
2,3,1,0,1,0,2,2,1,2,0,0,0,0,0,1,1,2,1,0,0,0,1,2,0,1,0,1,1,0,0,0,0,2,2,1,1,0,1,0,3,0,2,2,1,1,1,0,1,1,0,1,1,0,2,2,0,1,3,0,0,2,0,1,0,1,0,2,1,1,2,0,0,1,0,0,0,0,0,2,0,1,1,0,2,0,0,0,3,1,2,0,1,0,2,1,0,3,1,0,1,2,1,0,1,2,0,0,1,3,1,1,1,1,2,2,0,0,1,0,0,0,1,1,0,1,0,2,1,1,0,2,0,1,3,0,0,1,0,2,2,1,1,1,0,1,0,1,2,1,1,1,3,2,2,1,1,0,1,1,1,0,0,0,0,1,2,2,1,2,0,1,1,0,1,1,0,1,2,0,3,1,1,1,1,1,2,1,2,1,3,1,0,1,2,1,1,2,1,1,1,0,0,0.91,0.851779101757584,0.005
3,0,130,133,143,130,141,128,125,121,123,138,132,142,132,139,136,138,130,132,141,150,126,126,133,128,126,124,145,130,140,122,134,135,130,123,139,135,116,131,137,126,137,142,150,138,136,137,148,129,138,142,149,124,141,130,137,142,139,142,136,136,137,136,124,141,131,132,130,124,129,132,125,138,137,136,130,113,126,135,127,133,134,130,122,132,138,136,135,132,138,134,136,140,123,119,142,140,135,140,149,134,126,135,126,132,131,141,136,136,131,125,132,139,133,127,129,148,122,121,137,144,117,137,133,136,128,127,118,114,138,130,116,149,136,138,135,146,140,133,135,125,128,124,134,135,141,128,127,139,147,148,126,133,129,140,136,127,128,115,126,128,125,148,139,135,128,136,130,129,121,145,145,146,130,131,130,129,124,131,120,139,139,128,142,122,130,131,121,142,128,136,121,150,135,137,146,128,123,129,139,122,152,133.105,7.97445513332207,0.679
3,1,49,35,35,45,50,37,57,39,44,40,43,44,37,41,40,57,47,38,39,37,42,52,40,49,40,56,39,42,41,51,43,38,41,45,39,40,42,47,36,47,38,34,37,43,49,37,43,44,34,40,38,47,55,46,49,46,51,53,35,47,47,45,38,50,43,44,40,48,51,41,45,47,52,48,45,48,45,41,39,46,39,39,44,46,43,44,35,49,42,43,38,43,41,47,54,41,41,42,46,45,46,41,41,46,40,51,42,44,49,39,39,41,33,55,58,47,34,46,32,38,50,48,53,35,47,42,43,48,40,47,38,54,40,46,39,39,46,40,57,49,48,45,45,49,40,44,43,57,46,33,56,50,50,34,34,39,41,37,36,49,48,45,43,41,46,49,49,46,39,37,46,49,38,36,47,38,38,39,50,43,45,46,37,40,41,40,37,41,38,46,37,43,51,45,46,46,45,35,40,40,46,43.485,5.56006715190278,0.118
3,2,14,8,8,14,9,10,10,8,10,11,12,14,9,9,7,10,8,8,8,13,9,9,6,7,6,11,9,8,10,9,8,8,14,6,4,9,7,7,7,14,10,10,10,6,8,10,9,9,6,9,9,9,10,9,10,11,5,7,8,14,11,5,16,9,8,5,7,6,6,7,16,8,10,6,9,9,10,6,7,12,6,7,5,7,10,9,9,9,3,12,9,12,10,12,11,10,5,7,4,7,8,11,4,8,14,7,9,8,10,7,6,9,8,8,10,7,6,7,11,4,8,10,5,7,6,9,12,8,8,6,8,9,9,9,11,6,10,11,11,13,7,11,9,12,11,11,7,5,7,9,9,6,12,3,8,5,11,10,13,7,8,3,10,5,8,9,13,8,11,11,11,8,4,4,6,10,10,9,4,12,10,14,4,10,7,7,7,15,8,8,11,9,9,8,7,15,10,7,9,7,10,8.685,2.57271633623563,0.509
3,3,2,4,1,2,2,2,3,0,1,0,2,0,1,1,2,0,1,1,2,0,0,3,1,1,1,1,0,3,0,2,0,1,1,1,0,0,1,1,1,0,0,1,0,0,1,1,0,0,1,0,2,1,0,0,1,2,1,1,0,0,2,1,0,1,0,2,3,1,0,1,1,3,0,1,0,0,0,1,1,0,2,2,0,3,1,0,1,0,2,2,2,2,0,0,0,0,1,1,1,4,0,0,0,1,0,0,1,0,2,1,1,0,5,0,0,0,1,2,0,1,0,0,0,0,0,0,2,3,1,1,0,0,1,1,2,2,0,1,0,0,1,2,0,1,2,0,1,1,1,1,1,0,2,0,1,1,0,1,2,1,2,1,1,2,2,1,0,1,3,1,1,3,0,2,2,1,2,0,1,0,2,0,1,2,0,1,2,1,1,1,0,1,0,2,3,1,1,0,0,0,0,0.95,0.965484750796252,0
4,0,97,89,93,95,87,99,92,98,92,96,94,90,100,82,90,94,92,85,81,86,88,106,92,91,93,91,90,89,77,93,99,101,92,93,84,84,93,97,84,87,94,96,90,82,89,93,86,87,87,85,89,93,90,103,94,87,103,79,104,87,80,105,102,85,92,89,89,91,89,97,81,86,86,94,94,90,95,81,98,97,88,92,113,89,95,97,96,93,102,85,93,99,90,84,86,93,95,99,97,87,89,89,88,90,76,93,82,95,99,95,86,98,93,87,84,80,95,83,81,79,98,87,82,96,97,89,90,94,92,88,98,78,87,99,96,90,82,91,90,93,89,101,91,93,88,91,94,93,94,89,83,83,86,87,103,87,91,101,88,94,95,103,87,90,92,95,99,93,86,82,79,80,87,91,89,87,82,89,99,83,85,84,91,89,101,98,101,79,94,88,100,82,89,84,81,96,95,77,106,92,92,90.84,6.54127982191121,0
4,1,27,40,35,33,29,37,27,37,29,36,34,30,29,27,38,30,33,38,39,37,40,32,34,30,38,35,31,48,27,34,35,33,26,35,33,35,41,34,31,30,43,33,31,33,26,40,29,28,36,43,29,36,30,35,29,41,28,31,36,29,30,29,43,26,38,33,33,37,30,39,36,36,33,35,31,40,38,39,33,31,43,32,40,45,37,33,33,30,31,26,28,33,36,34,40,37,37,31,29,36,40,33,36,26,36,32,33,34,34,32,47,33,30,37,24,36,42,37,37,37,34,32,35,38,33,38,33,37,32,35,31,34,31,25,33,32,37,35,30,31,31,36,38,32,25,28,27,29,26,41,41,34,29,39,37,36,30,29,33,32,34,30,29,33,38,28,30,32,36,32,31,32,36,36,42,41,42,36,25,36,37,46,31,40,38,42,32,31,24,31,38,39,30,33,32,33,30,40,35,39,30,33.96,4.66445987544627,0.727
4,2,5,8,8,7,9,7,9,9,8,13,7,8,7,6,9,7,2,7,5,5,9,4,10,6,11,8,7,5,11,7,11,8,8,8,6,7,4,9,11,7,6,15,8,6,6,5,8,10,7,5,5,9,10,9,9,5,7,10,8,8,11,6,6,3,7,9,5,7,8,8,9,9,8,5,8,9,5,8,7,9,7,10,8,8,10,8,6,13,9,6,7,7,6,4,6,4,11,11,10,16,10,7,16,8,10,7,12,5,5,10,11,9,5,8,9,3,12,7,5,8,7,9,9,7,8,10,8,8,9,7,9,4,10,5,14,10,7,3,8,9,6,8,5,11,11,6,13,11,9,4,9,4,7,8,9,9,7,9,10,10,12,6,9,5,7,10,6,11,8,9,10,6,11,6,6,10,9,12,10,5,4,8,4,7,6,11,3,7,9,3,9,5,6,9,5,9,8,8,8,12,7,7.89,2.45725262280078,0.09
4,3,3,0,1,2,2,0,2,0,0,1,0,2,0,1,0,0,0,4,0,0,1,2,2,2,1,1,2,0,2,0,1,2,0,2,0,1,3,0,2,0,2,0,1,2,1,1,0,6,4,3,0,1,0,0,1,0,0,1,1,1,1,0,2,1,1,2,1,2,1,2,0,2,3,5,1,2,0,1,2,2,0,0,0,0,3,2,0,1,1,3,0,1,1,2,1,0,1,2,0,2,1,3,1,3,1,3,4,1,2,0,1,0,2,2,2,2,1,2,3,1,1,0,3,3,1,0,1,1,2,1,0,2,1,2,0,1,1,2,0,1,1,2,2,0,0,0,0,0,2,1,0,2,0,1,0,0,1,2,0,2,1,1,1,1,1,2,1,1,1,0,0,2,2,1,1,1,1,2,0,3,2,1,0,1,2,2,2,1,0,1,0,1,0,2,2,1,2,2,1,0,1,1.18,1.05981889037798,0
5,0,52,50,59,53,55,57,60,62,70,50,52,52,52,59,65,55,71,62,66,64,61,51,58,60,56,55,63,53,56,53,40,57,59,48,57,59,60,64,52,51,55,52,59,59,61,45,57,55,63,54,49,65,54,53,52,48,45,61,62,53,64,50,54,68,47,54,63,59,58,51,57,49,53,64,67,62,49,60,60,55,62,59,53,61,53,55,57,48,52,67,59,46,53,60,47,56,59,54,54,64,57,61,61,66,64,51,51,61,50,60,60,56,61,61,62,62,59,70,66,56,52,47,63,65,56,60,57,60,60,50,53,61,66,54,61,68,55,62,57,56,61,54,67,61,54,63,64,54,61,59,66,66,53,66,58,54,64,58,57,59,58,54,59,53,68,54,53,52,61,58,50,61,58,60,53,61,57,56,60,50,64,63,64,60,53,44,59,64,56,54,66,53,66,51,65,46,66,57,54,67,48,57.525,5.82313657730866,0.444
5,1,28,24,27,27,28,26,28,30,27,27,25,33,32,34,24,24,25,32,28,35,23,35,23,28,22,22,34,39,36,30,25,30,29,23,24,28,25,27,40,27,23,27,17,28,33,29,30,26,19,32,29,30,30,23,32,32,30,26,32,37,28,26,27,29,28,24,27,31,29,23,26,19,25,29,21,29,29,28,26,24,25,30,24,22,29,34,29,29,29,28,29,30,32,23,30,32,27,26,29,25,26,30,25,25,27,30,33,29,27,29,21,25,28,26,25,25,22,26,30,29,36,28,30,32,33,25,28,27,25,26,31,27,21,32,34,31,30,21,23,28,33,19,30,19,34,26,28,29,27,29,19,26,30,27,31,28,29,30,26,29,26,23,31,36,20,21,27,28,28,36,31,28,30,28,36,26,31,25,28,32,20,26,29,25,19,33,26,31,26,26,31,31,22,29,24,25,33,31,23,30,28,27.775,4.05668069873108,0.302
5,2,13,4,2,6,6,6,6,7,4,7,6,5,9,8,5,2,7,5,5,2,8,7,3,6,9,10,6,5,5,7,6,4,4,6,6,4,2,7,7,7,6,6,10,6,5,3,9,7,9,4,6,4,1,4,10,6,5,8,5,4,9,8,3,7,4,8,8,7,6,3,10,6,3,5,7,3,6,7,12,3,6,6,5,2,2,6,8,4,4,6,7,2,7,5,1,5,4,9,8,5,4,8,4,7,4,7,4,8,7,10,7,6,10,4,9,6,3,4,7,3,6,5,8,6,10,6,8,4,5,7,6,9,6,11,6,3,3,7,6,3,6,9,6,6,6,8,6,4,8,5,6,6,9,8,5,8,4,1,7,4,4,8,3,4,9,6,1,4,6,4,5,9,8,10,7,5,6,4,10,6,8,7,12,12,6,1,7,6,5,6,8,2,14,5,3,3,4,3,6,4,3,5.895,2.35194242400386,0
5,3,0,0,2,0,1,0,1,0,3,2,2,3,1,1,2,0,2,2,1,1,4,2,1,3,1,2,0,0,0,0,2,2,2,2,2,1,2,0,3,0,1,0,1,2,1,4,2,2,0,0,2,3,1,1,2,3,2,0,0,0,2,2,1,1,3,2,2,0,2,2,1,3,1,1,1,0,0,1,1,1,1,2,3,0,2,1,1,0,1,1,1,0,1,0,2,1,2,0,1,1,2,1,4,0,2,1,1,2,1,1,1,2,1,1,1,2,2,2,0,1,2,0,2,4,3,0,2,2,0,1,2,2,0,0,1,2,2,2,3,5,2,1,1,1,1,1,2,1,1,3,0,5,1,1,1,1,2,3,0,3,2,1,0,1,1,2,3,0,2,2,0,2,1,2,2,0,3,1,0,0,0,0,2,2,2,1,0,0,1,2,0,0,1,1,1,2,2,3,0,2,2,1.355,1.05572143044151,0
6,0,36,41,33,44,38,34,38,29,35,40,35,39,42,35,38,44,36,41,44,39,39,31,40,38,47,41,36,35,53,39,44,37,31,47,47,41,36,39,37,48,45,37,42,42,31,43,34,38,35,35,44,40,40,36,47,37,40,27,41,37,38,40,37,35,39,41,38,34,37,49,45,36,40,38,36,41,41,40,39,32,35,34,40,35,43,35,36,32,39,38,34,37,45,39,36,41,34,46,34,26,37,41,45,38,35,41,41,42,35,37,41,36,33,39,38,29,42,42,35,31,45,38,40,29,39,40,37,41,32,36,40,30,43,36,36,31,41,40,38,34,36,31,38,44,47,41,34,46,35,32,33,40,32,38,40,47,38,37,39,21,43,29,45,43,34,36,40,42,37,38,37,50,39,41,38,42,42,37,37,48,32,42,38,37,34,49,41,38,46,40,31,40,30,35,40,35,29,44,42,44,41,38.38,4.86868777013017,0
6,1,23,30,26,26,31,27,27,21,26,20,30,24,26,31,22,28,28,18,24,23,22,23,24,21,22,28,20,20,28,35,32,30,31,25,33,22,23,28,21,28,27,29,27,25,23,26,20,28,25,23,30,22,20,21,16,17,21,32,22,21,25,26,29,27,33,25,22,21,21,21,23,22,28,28,30,23,28,26,32,24,24,27,19,29,20,27,23,26,29,23,26,33,26,28,29,21,19,27,22,18,26,26,26,21,25,23,27,25,22,33,38,28,24,23,31,35,32,19,30,23,17,31,19,25,21,22,23,26,25,28,25,22,30,24,27,26,19,32,20,34,24,24,25,15,17,27,24,20,26,32,32,28,34,19,33,21,32,27,22,20,29,29,21,27,23,33,30,29,18,21,26,20,25,15,22,30,27,32,23,33,26,23,17,23,33,23,24,22,28,25,27,23,31,28,25,37,25,22,18,22,28,25.335,4.53049688335068,0.824
6,2,6,6,13,6,4,9,6,9,4,5,9,5,3,5,7,7,5,4,5,5,7,7,9,9,4,4,5,3,6,12,1,3,7,6,6,11,10,4,5,7,6,7,7,7,9,2,10,5,6,7,5,8,12,8,6,8,8,10,5,6,6,5,6,7,8,9,7,6,8,7,5,11,11,6,5,7,6,14,3,13,6,6,10,11,8,4,8,9,7,12,9,9,7,9,7,5,3,7,7,6,9,6,10,11,6,6,7,5,7,8,5,7,7,8,5,7,8,7,8,10,7,7,3,5,7,9,5,5,10,2,4,12,10,7,8,7,7,6,6,5,5,10,4,6,7,7,3,10,5,5,7,4,4,4,8,2,8,10,14,5,6,10,6,8,4,13,8,2,7,3,7,5,10,7,2,7,10,4,4,4,5,9,7,9,8,13,6,8,10,6,4,7,5,4,5,6,8,8,13,4,4,6.84,2.54297732359959,0.073
6,3,0,0,1,2,2,2,3,2,0,0,1,1,1,1,5,3,3,1,3,5,2,1,0,4,3,1,2,1,3,3,2,1,5,0,4,3,2,1,1,1,0,2,2,1,2,2,0,2,3,1,1,2,3,2,3,2,1,2,3,3,2,2,3,1,4,3,1,2,1,2,1,3,1,0,3,3,0,1,1,2,3,1,4,1,5,4,1,2,6,0,5,4,2,1,1,2,3,1,2,2,0,3,1,1,4,1,0,1,8,2,2,0,1,2,1,1,1,1,3,3,1,5,0,2,0,4,1,0,1,2,2,1,1,5,1,1,3,1,1,2,2,2,4,1,4,2,1,2,2,2,3,2,1,1,1,4,0,3,1,3,0,3,2,3,1,1,3,5,3,1,0,3,2,0,1,0,1,0,3,1,1,1,2,0,1,3,1,1,0,0,0,4,1,5,2,2,2,2,1,2,1,1.875,1.38889168062254,0
7,0,37,33,37,26,28,28,22,30,29,36,29,29,27,31,29,24,29,31,29,35,29,32,37,33,31,29,30,31,25,31,30,22,25,31,23,23,34,27,30,31,33,26,34,28,37,31,33,35,29,42,31,29,33,25,24,35,24,31,22,30,32,29,27,29,33,33,36,31,25,30,31,32,30,29,30,25,28,37,23,30,40,34,32,30,37,31,34,40,26,30,28,25,28,24,30,27,30,27,35,34,31,30,24,30,27,32,28,28,28,31,28,31,33,30,40,33,29,28,37,34,25,31,32,22,27,29,32,34,29,37,37,27,28,30,31,34,27,27,34,31,29,31,33,22,28,24,29,30,26,21,22,30,34,22,25,34,25,20,38,35,30,26,27,35,24,30,34,31,32,35,31,30,20,36,33,26,18,41,33,21,29,26,22,34,23,21,28,33,22,27,34,35,27,30,23,30,26,32,34,26,30,29.695,4.45321576540665,0.241
7,1,21,19,16,21,26,22,26,18,21,16,21,22,26,19,18,20,16,23,28,22,23,25,17,38,26,21,24,20,23,19,21,28,26,26,19,22,24,24,26,16,18,28,24,22,25,19,22,34,30,19,19,24,20,30,22,25,22,24,16,27,19,24,20,21,26,19,23,25,20,20,22,32,24,23,33,30,18,28,27,29,26,25,20,21,16,31,17,26,26,19,21,23,18,27,21,25,35,18,22,27,22,20,24,31,20,23,24,19,20,23,18,28,23,19,24,22,19,19,18,22,20,21,29,25,24,23,18,22,25,26,23,26,19,24,22,22,31,24,23,22,27,27,14,32,27,27,31,23,29,27,19,20,28,27,20,23,23,20,17,33,21,27,18,21,22,23,23,25,22,20,19,22,22,23,17,20,23,25,29,27,30,17,30,15,25,26,23,23,29,26,22,23,24,25,26,22,18,24,23,25,21,23.16,4.17390794552161,0
